ano,participante,genero,idade,altura,peso,calcado,irmaos,conjuge,fumante,alcool,estimacao,sono,exercicio,enem,ufrn
2015,a,Feminino,17,166,66,38,2,Nao,Nao,0,Gato,7,4,640,Boa
2015,b,Masculino,18,174,95,42,1,Sim,Nao,2,Peixe,5,10,581,Boa
2015,c,Masculino,32,180,105,41,2,Sim,Nao,1,Nenhum,5,2,705,Boa
2015,d,Feminino,20,160,56,38,1,Sim,Nao,0,Cachorro,5,0,595,Boa
2015,e,Feminino,25,153,40,34,2,Sim,Nao,0,Cachorro,6,0,570,Boa
2015,f,Feminino,21,163,43,36,1,Nao,Nao,0,Nenhum,7,0,630,Boa
2015,g,Masculino,22,174,77,43,2,Nao,Nao,0,Nenhum,6,4,682.89,Regular
2015,h,Masculino,28,189,72,42,4,Nao,Nao,0,Gato,6,0,530,Boa
2015,i,Feminino,23,163,49,34,5,Nao,Nao,0,Gato,6,0,563,Excelente
2015,j,Feminino,17,160,55,37,0,Sim,Nao,0,Cachorro,7,4,600.56,Excelente
2015,k,Masculino,18,180,85,40,0,Nao,Nao,0,Nenhum,7,7,676.86,Boa
2015,l,Masculino,26,175,68,42,1,Sim,Nao,5,Calango,8,3,701,Excelente
2015,m,Feminino,20,169,69,38,2,Nao,Nao,0,Cachorro,7,5,630,Boa
2015,n,Feminino,21,168,68,40,2,Nao,Nao,0,Nenhum,6,0,562.24,Boa
2015,o,Masculino,20,168,62,42,1,Sim,Nao,1,Cachorro,6,16,545.5,Excelente
2015,p,Masculino,17,170,50,39,1,Sim,Nao,0,Nenhum,6,0,600,Boa
2015,q,Masculino,18,175,60,40,2,Nao,Nao,0,Nenhum,6,0,580,Boa
2015,r,Masculino,17,179,57,38,0,Sim,Nao,0,Cachorro,7,20,628,Excelente
2015,s,Masculino,18,173,76,41,3,Sim,Nao,0,Nenhum,6,2,590,Excelente
2015,t,Feminino,18,170,67,39,1,Nao,Nao,0,Cachorro,8,0,635,Boa
2015,u,Feminino,17,172,55,38,1,Nao,Nao,2,Nenhum,5,0,640,Excelente
2015,v,Feminino,18,163,54,37,4,Nao,Nao,2,Cachorro,7,0,614,Boa
2015,x,Masculino,30,184,80,43,8,Sim,Nao,1,Nenhum,6,2,578.5,Excelente
2015,z,Masculino,19,177,68,39,1,Sim,Nao,0,Cachorro,6,3,620,Excelente
2015,aa,Feminino,17,168,70,39,2,Nao,Nao,0,Cachorro,8,8,638,Boa
2015,ab,Masculino,28,176,73,40,1,Nao,Nao,0,Peixe,7,1.5,534,Excelente
2015,ac,Masculino,21,193,84,48,0,Sim,Nao,1,Nenhum,6,2,632.08,Boa
2015,ad,Feminino,17,160,54,37,1,Sim,Nao,0,Gato,7,7,492.96,Excelente
2016,ae,Feminino,29,158,63,35,4,Sim,Nao,0,Nenhum,8,3,600,Boa
2016,af,Masculino,21,169,69,43,1,Sim,Nao,2,Cachorro,5,8,679.05,Excelente
2016,ag,Masculino,23,178,73,41,3,Nao,Nao,0,Cachorro,8,7,621,Boa
2016,ah,Masculino,18,166,45,40,1,Nao,Nao,0,Peixe,6,0,729,Boa
2016,ai,Masculino,37,185,104,44,3,Sim,Nao,0,Nenhum,6,0,643,Excelente
2016,aj,Masculino,29,190,72,42,3,Nao,Nao,1,Gato,6,1,511,Boa
2016,ak,Masculino,21,178,74,42,0,Sim,Nao,0,Cachorro; formigas,8,0,632,Excelente
2016,al,Masculino,49,162,56,38,2,Sim,Nao,1,Cachorro,6,4,701,Boa
2016,am,Masculino,20,179,64,42,6,Nao,Nao,0,Nenhum,7,6,568.16,Boa
2016,an,Masculino,27,175,78,42,5,Sim,Nao,1,Nenhum,6,5,719,Boa
2016,ao,Feminino,17,154,54,36,1,Nao,Nao,0,Nenhum,6,10,618,Excelente
2016,ap,Masculino,24,165,60,39,3,Nao,Nao,0,Nenhum,6,0,564.75,Boa
2016,aq,Masculino,30,190,82,43,1,Sim,Nao,3,Nenhum,7,3,723,Boa
2016,ar,Feminino,19,164,49,36,4,Nao,Nao,0,Nenhum,6,0,625,Excelente
2016,as,Masculino,16,173,93,41,2,Sim,Nao,0,Nenhum,6,4,638,Excelente
2016,at,Masculino,19,175,63,40,1,Sim,Nao,0,Gato,9,5,635,Boa
2016,au,Feminino,22,165,80.7,38,4,Sim,Nao,0,Cachorro,8,4,674,Boa
2016,av,Masculino,36,166,87.5,40,5,Sim,Nao,0,Nenhum,5,0,547,Boa
2016,ax,Feminino,17,151,48.7,35,7,Sim,Nao,0,Cachorro,6,0,592,Boa
2016,az,Masculino,18,170,63,39,1,Nao,Nao,0,Nenhum,6,5,640,Boa
2016,ba,Feminino,17,165,49.8,36,2,Nao,Nao,0,Cachorro,8,0,623,Boa
2016,bb,Feminino,18,165,71,36,1,Nao,Nao,0,Cachorro,6,7,608.28,Boa
2016,bc,Masculino,17,185,82,45,2,Nao,Nao,0,Nenhum,7.5,5,547.9,Excelente
2016,bd,Feminino,17,168,60,38,2,Sim,Nao,0,Nenhum,8,5,620,Boa
2016,be,Masculino,17,170,56,42,1,Sim,Nao,0,Tartaruga,8,0,650,Excelente
2016,bf,Feminino,18,168,49,35,2,Nao,Nao,0,Nenhum,8,0,581.22,Excelente
2016,bg,Feminino,18,162,69,35,1,Nao,Nao,0,Nenhum,7,4,700,Boa
2016,bh,Feminino,18,168,72,38,2,Nao,Nao,0,Cachorro,4,9,640,Boa
2016,bi,Feminino,29,158,63,35,4,Sim,Nao,0,Nenhum,7,3,600,Boa
2016,bj,Feminino,21,165,55,37,1,Sim,Nao,1,Coelho,5,0,558.81,Excelente
2016,bk,Masculino,28,170,78,41,3,Nao,Nao,0,Nenhum,7,0,423.15,Regular
2016,bl,Feminino,19,171,59,39,2,Sim,Nao,0,Cachorro,7,10,629,Excelente
2016,bm,Masculino,18,150,57,37,0,Nao,Nao,0,Nenhum,8,2,619.2,Excelente
2016,bn,Feminino,21,160,48,37,2,Sim,Sim,5,Cachorro,7,0,598,Boa
2016,bo,Masculino,17,171,63,41,1,Nao,Nao,0,Gato,8,7,620,Excelente
2016,bp,Feminino,28,163,48,35,5,Nao,Nao,0,Nenhum,6,2,563.23,Regular
2017,bq,Feminino,17,160,74,36,1,Sim,Nao,0,Cachorro,12,4,589,Excelente
2017,br,Feminino,31,168,78,35,2,Sim,Nao,1,Cachorro,6,0,634.45,Excelente
2017,bs,Masculino,19,175,82,42,5,Nao,Nao,0,Nenhum,6,6,585,Excelente
2017,bt,Masculino,18,175,62,42,1,Sim,Nao,3,Nenhum,6,4,588.9,Boa
2017,bu,Masculino,22,171,71,41,0,Sim,Nao,3,Cachorro,6,3,776,Boa
2017,bv,Masculino,20,180,60,41,1,Sim,Nao,0,Cachorro; gato,6,18,600,Boa
2017,bx,Masculino,21,150,52,40,1,Nao,Nao,0,Nenhum,8,1,629,Boa
2017,bz,Masculino,20,169,64,39,2,Nao,Sim,1,Cachorro,6,8,638,Boa
2017,ca,Masculino,30,171,76,38,4,Sim,Nao,0,Cachorro,8,7,690,Excelente
2017,cb,Feminino,25,164,54,36,2,Nao,Nao,1,Peixe,9,4,659,Excelente
2017,cc,Masculino,36,169,80,40,2,Sim,Nao,3,Cachorro; gato; peixe,7,4,696,Boa
2017,d,Masculino,18,178,60,41,4,Nao,Nao,0,Nenhum,8,3,749.78,Excelente
2017,ce,Feminino,18,160,59,37,1,Sim,Nao,0,Gato,6,0,583.88,Excelente
2017,cf,Masculino,18,167,73,41,4,Nao,Nao,0,Cachorro,8,0,584,Excelente
2017,cg,Masculino,21,158,65,40,1,Nao,Nao,0,Gato,7,5,622,Boa
2017,ch,Masculino,17,175,69,39,3,Sim,Nao,0,Gato,7,2,650,Boa
2017,ci,Feminino,18,161,47,35,3,Sim,Nao,0,Cachorro,6,1,615,Excelente
2017,cj,Masculino,18,168,75,40,1,Nao,Nao,0,Gato,5,15,605,Boa
2017,ck,Masculino,29,170,68,41,3,Sim,Nao,1,Nenhum,7,8,567,Excelente
2017,cl,Masculino,29,167,80,40,4,Sim,Nao,1,Cachorro,4,0,587,Excelente
2017,cm,Feminino,29,157,54.3,34,1,Nao,Nao,0,Peixe,8,3,629,Excelente
2017,cn,Masculino,18,176,75,42,1,Nao,Nao,1,Gato,6,3,606,Boa
2017,co,Masculino,17,167,55,40,1,Nao,Nao,0,Nenhum,7,0,597,Boa
2017,cp,Feminino,17,160,44,36,3,Sim,Nao,0,Cachorro,8,0,559.16,Boa
2017,cq,Masculino,22,179,61,40,2,Nao,Nao,0,Nenhum,7,2,558.2,Excelente
2017,cr,Feminino,22,160,53,48,1,Sim,Nao,0,Cachorro,5,0,541,Excelente
2017,cs,Feminino,17,169,58,37,2,Nao,Nao,0,Cachorro,7,0,603,Boa
2017,ct,Masculino,51,180,106,42,3,Sim,Nao,1,Nenhum,7,0,598.89,Excelente
2018,cu,Feminino,19,162,65,35,0,Sim,Nao,0,Peixe,6,0,544,Excelente
2018,cv,Feminino,18,172,70,38,0,Sim,Nao,0,Cachorro,6,0,586,Excelente
2018,cx,Feminino,18,168,49,37,0,Sim,Nao,1,Nenhum,8,0,561,Boa
2018,cz,Masculino,21,171,53,40,4,Nao,Nao,0,Nenhum,6,5,593.78,Excelente
2018,da,Masculino,19,185,74,43,5,Sim,Nao,0,Cachorro,7.5,0,730,Excelente
2018,db,Masculino,19,175,58,41,2,Nao,Sim,2,Gato,8,5,592,Boa
2018,dc,Masculino,21,170,55,42,3,Sim,Nao,0,Gato,7,0,570,Boa
2018,dd,Feminino,19,158,42,34,7,Sim,Nao,0,Nenhum,6,0,527,Boa
2018,de,Feminino,18,159,58,36,5,Sim,Nao,0,Cachorro,5,8,601.28,Excelente
2018,df,Feminino,17,156,57,36,2,Nao,Nao,0,Nenhum,6.5,3,679.8,Excelente
2018,dg,Masculino,32,172,130,42,2,Sim,Nao,0,Nenhum,8,7,630,Excelente
2018,dh,Masculino,50,178,85,42,0,Sim,Nao,0,Cachorro,6,3,NA,Boa
2018,di,Masculino,34,173,91,42,2,Sim,Nao,1,Nenhum,6,0,615,Boa
2018,dj,Masculino,26,173,80,41,1,Sim,Nao,1,Gato,6,0,650,Boa
2018,dk,Feminino,18,160,61,37,1,Nao,Nao,0,Cachorro,7,0,650,Excelente
2018,dl,Feminino,20,167,56,35,1,Nao,Nao,0,Nenhum,8,8,589,Excelente
2018,dm,Feminino,19,167,52,38,4,Sim,Nao,0,Cachorro; gato,4,3,598,Excelente
2018,dn,Masculino,23,165,70,40,4,Nao,Nao,0,Cachorro,8,7.5,NA,Boa
2018,do,Feminino,18,152,46,34,6,Sim,Nao,0,Nenhum,7,0,588,Boa
2018,dp,Feminino,22,164,60,37,2,Sim,Nao,0,Cachorro,5,0,584,Excelente
2018,dq,Feminino,17,157,46,35,1,Sim,Nao,1,Gato,5,2,610.39,Boa
2018,dr,Feminino,28,173,85,39,2,Sim,Nao,1,Cachorro; gato,8,4,645,Excelente
2018,ds,Masculino,33,180,93,43,3,Sim,Nao,0,Nenhum,5,1.5,665.81,Regular
2018,dt,Feminino,18,168,55,36,1,Sim,Nao,0,Nenhum,5,2,620,Excelente
2018,du,Masculino,19,170,53,40,0,Nao,Nao,0,Nenhum,7,0,593,Excelente
2018,dv,Masculino,32,181,115,43,2,Sim,Nao,1,Nenhum,6,1,670,Boa
2018,dx,Masculino,29,180,121,43,2,Nao,Nao,1,Nenhum,6,0,590,Boa
2018,dz,Masculino,22,182,55,42,2,Nao,Sim,1,Cachorro; gato; galinhas,7,7,621,Excelente
2018,ea,Masculino,24,179,73,42,2,Nao,Nao,0,Nenhum,6,10,600,Boa