"","day","cleaner","type","time"
"1","1","a","parrot",47
"2","1","b","parrot",55
"3","1","c","parrot",64
"4","1","a","shark",101
"5","1","b","shark",76
"6","1","c","shark",63
"7","2","a","parrot",25
"8","2","b","parrot",44
"9","2","c","parrot",58
"10","2","a","shark",118
"11","2","b","shark",73
"12","2","c","shark",49
"13","3","a","parrot",36
"14","3","b","parrot",62
"15","3","c","parrot",18
"16","3","a","shark",77
"17","3","b","shark",74
"18","3","c","shark",94
"19","4","a","parrot",27
"20","4","b","parrot",50
"21","4","c","parrot",59
"22","4","a","shark",100
"23","4","b","shark",108
"24","4","c","shark",45
"25","5","a","parrot",53
"26","5","b","parrot",20
"27","5","c","parrot",80
"28","5","a","shark",91
"29","5","b","shark",54
"30","5","c","shark",68
"31","6","a","parrot",24
"32","6","b","parrot",64
"33","6","c","parrot",70
"34","6","a","shark",74
"35","6","b","shark",49
"36","6","c","shark",58
"37","7","a","parrot",43
"38","7","b","parrot",45
"39","7","c","parrot",59
"40","7","a","shark",97
"41","7","b","shark",93
"42","7","c","shark",73
"43","8","a","parrot",42
"44","8","b","parrot",48
"45","8","c","parrot",48
"46","8","a","shark",89
"47","8","b","shark",38
"48","8","c","shark",71
"49","9","a","parrot",35
"50","9","b","parrot",47
"51","9","c","parrot",65
"52","9","a","shark",66
"53","9","b","shark",58
"54","9","c","shark",72
"55","10","a","parrot",45
"56","10","b","parrot",76
"57","10","c","parrot",36
"58","10","a","shark",90
"59","10","b","shark",99
"60","10","c","shark",63
"61","11","a","parrot",51
"62","11","b","parrot",40
"63","11","c","parrot",117
"64","11","a","shark",91
"65","11","b","shark",50
"66","11","c","shark",66
"67","12","a","parrot",54
"68","12","b","parrot",53
"69","12","c","parrot",61
"70","12","a","shark",77
"71","12","b","shark",76
"72","12","c","shark",67
"73","13","a","parrot",62
"74","13","b","parrot",86
"75","13","c","parrot",56
"76","13","a","shark",108
"77","13","b","shark",101
"78","13","c","shark",65
"79","14","a","parrot",72
"80","14","b","parrot",81
"81","14","c","parrot",51
"82","14","a","shark",52
"83","14","b","shark",59
"84","14","c","shark",38
"85","15","a","parrot",25
"86","15","b","parrot",77
"87","15","c","parrot",36
"88","15","a","shark",90
"89","15","b","shark",37
"90","15","c","shark",82
"91","16","a","parrot",38
"92","16","b","parrot",69
"93","16","c","parrot",62
"94","16","a","shark",63
"95","16","b","shark",63
"96","16","c","shark",80
"97","17","a","parrot",91
"98","17","b","parrot",54
"99","17","c","parrot",57
"100","17","a","shark",95
"101","17","b","shark",83
"102","17","c","shark",69
"103","18","a","parrot",63
"104","18","b","parrot",26
"105","18","c","parrot",42
"106","18","a","shark",66
"107","18","b","shark",30
"108","18","c","shark",63
"109","19","a","parrot",61
"110","19","b","parrot",48
"111","19","c","parrot",25
"112","19","a","shark",98
"113","19","b","shark",43
"114","19","c","shark",54
"115","20","a","parrot",33
"116","20","b","parrot",50
"117","20","c","parrot",55
"118","20","a","shark",76
"119","20","b","shark",72
"120","20","c","shark",57
"121","21","a","parrot",33
"122","21","b","parrot",55
"123","21","c","parrot",76
"124","21","a","shark",99
"125","21","b","shark",103
"126","21","c","shark",47
"127","22","a","parrot",73
"128","22","b","parrot",55
"129","22","c","parrot",36
"130","22","a","shark",105
"131","22","b","shark",103
"132","22","c","shark",61
"133","23","a","parrot",34
"134","23","b","parrot",63
"135","23","c","parrot",64
"136","23","a","shark",116
"137","23","b","shark",59
"138","23","c","shark",32
"139","24","a","parrot",53
"140","24","b","parrot",52
"141","24","c","parrot",76
"142","24","a","shark",95
"143","24","b","shark",61
"144","24","c","shark",50
"145","25","a","parrot",24
"146","25","b","parrot",55
"147","25","c","parrot",61
"148","25","a","shark",117
"149","25","b","shark",83
"150","25","c","shark",87
"151","26","a","parrot",50
"152","26","b","parrot",37
"153","26","c","parrot",47
"154","26","a","shark",89
"155","26","b","shark",87
"156","26","c","shark",80
"157","27","a","parrot",53
"158","27","b","parrot",51
"159","27","c","parrot",39
"160","27","a","shark",88
"161","27","b","shark",92
"162","27","c","shark",73
"163","28","a","parrot",67
"164","28","b","parrot",47
"165","28","c","parrot",21
"166","28","a","shark",112
"167","28","b","shark",74
"168","28","c","shark",80
"169","29","a","parrot",70
"170","29","b","parrot",34
"171","29","c","parrot",37
"172","29","a","shark",90
"173","29","b","shark",60
"174","29","c","shark",54
"175","30","a","parrot",38
"176","30","b","parrot",49
"177","30","c","parrot",69
"178","30","a","shark",70
"179","30","b","shark",66
"180","30","c","shark",77
"181","31","a","parrot",52
"182","31","b","parrot",62
"183","31","c","parrot",48
"184","31","a","shark",56
"185","31","b","shark",89
"186","31","c","shark",72
"187","32","a","parrot",45
"188","32","b","parrot",49
"189","32","c","parrot",49
"190","32","a","shark",78
"191","32","b","shark",64
"192","32","c","shark",80
"193","33","a","parrot",20
"194","33","b","parrot",43
"195","33","c","parrot",53
"196","33","a","shark",125
"197","33","b","shark",61
"198","33","c","shark",30
"199","34","a","parrot",25
"200","34","b","parrot",85
"201","34","c","parrot",76
"202","34","a","shark",85
"203","34","b","shark",86
"204","34","c","shark",80
"205","35","a","parrot",34
"206","35","b","parrot",35
"207","35","c","parrot",61
"208","35","a","shark",82
"209","35","b","shark",100
"210","35","c","shark",19
"211","36","a","parrot",61
"212","36","b","parrot",55
"213","36","c","parrot",49
"214","36","a","shark",103
"215","36","b","shark",101
"216","36","c","shark",43
"217","37","a","parrot",52
"218","37","b","parrot",4
"219","37","c","parrot",35
"220","37","a","shark",87
"221","37","b","shark",39
"222","37","c","shark",61
"223","38","a","parrot",35
"224","38","b","parrot",42
"225","38","c","parrot",80
"226","38","a","shark",58
"227","38","b","shark",57
"228","38","c","shark",65
"229","39","a","parrot",48
"230","39","b","parrot",31
"231","39","c","parrot",131
"232","39","a","shark",98
"233","39","b","shark",93
"234","39","c","shark",58
"235","40","a","parrot",66
"236","40","b","parrot",30
"237","40","c","parrot",63
"238","40","a","shark",103
"239","40","b","shark",76
"240","40","c","shark",62
"241","41","a","parrot",29
"242","41","b","parrot",101
"243","41","c","parrot",74
"244","41","a","shark",97
"245","41","b","shark",127
"246","41","c","shark",53
"247","42","a","parrot",6
"248","42","b","parrot",62
"249","42","c","parrot",74
"250","42","a","shark",86
"251","42","b","shark",56
"252","42","c","shark",49
"253","43","a","parrot",45
"254","43","b","parrot",30
"255","43","c","parrot",92
"256","43","a","shark",119
"257","43","b","shark",72
"258","43","c","shark",46
"259","44","a","parrot",37
"260","44","b","parrot",22
"261","44","c","parrot",67
"262","44","a","shark",36
"263","44","b","shark",102
"264","44","c","shark",80
"265","45","a","parrot",48
"266","45","b","parrot",52
"267","45","c","parrot",57
"268","45","a","shark",79
"269","45","b","shark",74
"270","45","c","shark",84
"271","46","a","parrot",52
"272","46","b","parrot",52
"273","46","c","parrot",45
"274","46","a","shark",78
"275","46","b","shark",91
"276","46","c","shark",78
"277","47","a","parrot",84
"278","47","b","parrot",79
"279","47","c","parrot",34
"280","47","a","shark",82
"281","47","b","shark",91
"282","47","c","shark",54
"283","48","a","parrot",42
"284","48","b","parrot",74
"285","48","c","parrot",59
"286","48","a","shark",94
"287","48","b","shark",68
"288","48","c","shark",54
"289","49","a","parrot",57
"290","49","b","parrot",66
"291","49","c","parrot",49
"292","49","a","shark",86
"293","49","b","shark",63
"294","49","c","shark",41
"295","50","a","parrot",57
"296","50","b","parrot",64
"297","50","c","parrot",66
"298","50","a","shark",69
"299","50","b","shark",83
"300","50","c","shark",88
"301","51","a","parrot",27
"302","51","b","parrot",42
"303","51","c","parrot",72
"304","51","a","shark",112
"305","51","b","shark",73
"306","51","c","shark",57
"307","52","a","parrot",52
"308","52","b","parrot",63
"309","52","c","parrot",108
"310","52","a","shark",42
"311","52","b","shark",85
"312","52","c","shark",38
"313","53","a","parrot",109
"314","53","b","parrot",78
"315","53","c","parrot",69
"316","53","a","shark",99
"317","53","b","shark",83
"318","53","c","shark",57
"319","54","a","parrot",47
"320","54","b","parrot",47
"321","54","c","parrot",13
"322","54","a","shark",76
"323","54","b","shark",104
"324","54","c","shark",58
"325","55","a","parrot",51
"326","55","b","parrot",66
"327","55","c","parrot",54
"328","55","a","shark",77
"329","55","b","shark",78
"330","55","c","shark",58
"331","56","a","parrot",42
"332","56","b","parrot",23
"333","56","c","parrot",70
"334","56","a","shark",99
"335","56","b","shark",54
"336","56","c","shark",46
"337","57","a","parrot",68
"338","57","b","parrot",20
"339","57","c","parrot",77
"340","57","a","shark",99
"341","57","b","shark",72
"342","57","c","shark",96
"343","58","a","parrot",28
"344","58","b","parrot",31
"345","58","c","parrot",79
"346","58","a","shark",106
"347","58","b","shark",102
"348","58","c","shark",63
"349","59","a","parrot",42
"350","59","b","parrot",57
"351","59","c","parrot",53
"352","59","a","shark",58
"353","59","b","shark",71
"354","59","c","shark",87
"355","60","a","parrot",43
"356","60","b","parrot",31
"357","60","c","parrot",30
"358","60","a","shark",78
"359","60","b","shark",90
"360","60","c","shark",42
"361","61","a","parrot",33
"362","61","b","parrot",59
"363","61","c","parrot",33
"364","61","a","shark",68
"365","61","b","shark",95
"366","61","c","shark",101
"367","62","a","parrot",34
"368","62","b","parrot",49
"369","62","c","parrot",41
"370","62","a","shark",104
"371","62","b","shark",59
"372","62","c","shark",60
"373","63","a","parrot",52
"374","63","b","parrot",32
"375","63","c","parrot",44
"376","63","a","shark",63
"377","63","b","shark",83
"378","63","c","shark",79
"379","64","a","parrot",30
"380","64","b","parrot",69
"381","64","c","parrot",56
"382","64","a","shark",89
"383","64","b","shark",86
"384","64","c","shark",56
"385","65","a","parrot",57
"386","65","b","parrot",84
"387","65","c","parrot",63
"388","65","a","shark",81
"389","65","b","shark",35
"390","65","c","shark",60
"391","66","a","parrot",39
"392","66","b","parrot",85
"393","66","c","parrot",63
"394","66","a","shark",86
"395","66","b","shark",86
"396","66","c","shark",38
"397","67","a","parrot",42
"398","67","b","parrot",71
"399","67","c","parrot",55
"400","67","a","shark",64
"401","67","b","shark",104
"402","67","c","shark",90
"403","68","a","parrot",17
"404","68","b","parrot",51
"405","68","c","parrot",55
"406","68","a","shark",32
"407","68","b","shark",49
"408","68","c","shark",49
"409","69","a","parrot",41
"410","69","b","parrot",66
"411","69","c","parrot",49
"412","69","a","shark",92
"413","69","b","shark",117
"414","69","c","shark",42
"415","70","a","parrot",24
"416","70","b","parrot",53
"417","70","c","parrot",61
"418","70","a","shark",92
"419","70","b","shark",68
"420","70","c","shark",11
"421","71","a","parrot",24
"422","71","b","parrot",93
"423","71","c","parrot",60
"424","71","a","shark",84
"425","71","b","shark",66
"426","71","c","shark",35
"427","72","a","parrot",66
"428","72","b","parrot",39
"429","72","c","parrot",43
"430","72","a","shark",79
"431","72","b","shark",110
"432","72","c","shark",56
"433","73","a","parrot",37
"434","73","b","parrot",71
"435","73","c","parrot",38
"436","73","a","shark",106
"437","73","b","shark",69
"438","73","c","shark",63
"439","74","a","parrot",77
"440","74","b","parrot",68
"441","74","c","parrot",34
"442","74","a","shark",117
"443","74","b","shark",67
"444","74","c","shark",59
"445","75","a","parrot",46
"446","75","b","parrot",79
"447","75","c","parrot",35
"448","75","a","shark",44
"449","75","b","shark",67
"450","75","c","shark",50
"451","76","a","parrot",50
"452","76","b","parrot",38
"453","76","c","parrot",28
"454","76","a","shark",103
"455","76","b","shark",78
"456","76","c","shark",65
"457","77","a","parrot",55
"458","77","b","parrot",52
"459","77","c","parrot",80
"460","77","a","shark",74
"461","77","b","shark",98
"462","77","c","shark",70
"463","78","a","parrot",53
"464","78","b","parrot",59
"465","78","c","parrot",103
"466","78","a","shark",80
"467","78","b","shark",87
"468","78","c","shark",38
"469","79","a","parrot",59
"470","79","b","parrot",66
"471","79","c","parrot",74
"472","79","a","shark",75
"473","79","b","shark",64
"474","79","c","shark",63
"475","80","a","parrot",27
"476","80","b","parrot",63
"477","80","c","parrot",32
"478","80","a","shark",92
"479","80","b","shark",44
"480","80","c","shark",70
"481","81","a","parrot",35
"482","81","b","parrot",58
"483","81","c","parrot",37
"484","81","a","shark",125
"485","81","b","shark",97
"486","81","c","shark",73
"487","82","a","parrot",76
"488","82","b","parrot",73
"489","82","c","parrot",66
"490","82","a","shark",66
"491","82","b","shark",89
"492","82","c","shark",77
"493","83","a","parrot",75
"494","83","b","parrot",57
"495","83","c","parrot",58
"496","83","a","shark",93
"497","83","b","shark",41
"498","83","c","shark",77
"499","84","a","parrot",50
"500","84","b","parrot",69
"501","84","c","parrot",48
"502","84","a","shark",51
"503","84","b","shark",60
"504","84","c","shark",112
"505","85","a","parrot",4
"506","85","b","parrot",29
"507","85","c","parrot",61
"508","85","a","shark",82
"509","85","b","shark",69
"510","85","c","shark",85
"511","86","a","parrot",42
"512","86","b","parrot",55
"513","86","c","parrot",56
"514","86","a","shark",86
"515","86","b","shark",54
"516","86","c","shark",83
"517","87","a","parrot",40
"518","87","b","parrot",33
"519","87","c","parrot",29
"520","87","a","shark",104
"521","87","b","shark",43
"522","87","c","shark",61
"523","88","a","parrot",62
"524","88","b","parrot",39
"525","88","c","parrot",74
"526","88","a","shark",71
"527","88","b","shark",90
"528","88","c","shark",33
"529","89","a","parrot",36
"530","89","b","parrot",56
"531","89","c","parrot",68
"532","89","a","shark",106
"533","89","b","shark",81
"534","89","c","shark",40
"535","90","a","parrot",50
"536","90","b","parrot",37
"537","90","c","parrot",55
"538","90","a","shark",91
"539","90","b","shark",100
"540","90","c","shark",78
"541","91","a","parrot",74
"542","91","b","parrot",34
"543","91","c","parrot",97
"544","91","a","shark",61
"545","91","b","shark",119
"546","91","c","shark",55
"547","92","a","parrot",3
"548","92","b","parrot",64
"549","92","c","parrot",52
"550","92","a","shark",65
"551","92","b","shark",65
"552","92","c","shark",51
"553","93","a","parrot",57
"554","93","b","parrot",65
"555","93","c","parrot",62
"556","93","a","shark",90
"557","93","b","shark",122
"558","93","c","shark",16
"559","94","a","parrot",39
"560","94","b","parrot",36
"561","94","c","parrot",62
"562","94","a","shark",135
"563","94","b","shark",105
"564","94","c","shark",90
"565","95","a","parrot",7
"566","95","b","parrot",67
"567","95","c","parrot",42
"568","95","a","shark",85
"569","95","b","shark",125
"570","95","c","shark",66
"571","96","a","parrot",23
"572","96","b","parrot",61
"573","96","c","parrot",9
"574","96","a","shark",86
"575","96","b","shark",93
"576","96","c","shark",72
"577","97","a","parrot",65
"578","97","b","parrot",51
"579","97","c","parrot",43
"580","97","a","shark",119
"581","97","b","shark",48
"582","97","c","shark",69
"583","98","a","parrot",61
"584","98","b","parrot",57
"585","98","c","parrot",33
"586","98","a","shark",72
"587","98","b","shark",61
"588","98","c","shark",67
"589","99","a","parrot",47
"590","99","b","parrot",43
"591","99","c","parrot",27
"592","99","a","shark",97
"593","99","b","shark",114
"594","99","c","shark",35
"595","100","a","parrot",41
"596","100","b","parrot",62
"597","100","c","parrot",55
"598","100","a","shark",71
"599","100","b","shark",101
"600","100","c","shark",71
